00:34:32:320.247   Line: 016/1, intID = 0
00:34:32:321.318   Line: 032/2, intID = 0
00:34:32:322.384   Line: 048/3, intID = 0
00:34:32:323.452   Line: 064/4, intID = 0
00:34:32:324.517   Line: 080/5, intID = 0
00:34:32:325.586   Line: 096/6, intID = 0
00:34:32:326.652   Line: 112/7, intID = 0
00:34:32:327.719   Line: 128/8, intID = 0
00:34:32:328.786   Line: 144/9, intID = 0
00:34:32:329.855   Line: 160/10, intID = 0
00:34:32:330.922   Line: 176/11, intID = 0
00:34:32:331.988   Line: 192/12, intID = 0
00:34:32:333.055   Line: 208/13, intID = 0
00:34:32:334.125   Line: 224/14, intID = 0
00:34:32:335.191   Line: 240/15, intID = 0
00:34:32:336.258   Line: 256/16, intID = 0
00:34:32:337.325   Line: 272/17, intID = 0
00:34:32:338.395   Line: 288/18, intID = 0
00:34:32:339.460   Line: 304/19, intID = 0
00:34:32:340.529   Line: 320/20, intID = 0
00:34:32:341.598   Line: 336/21, intID = 0
00:34:32:342.664   Line: 352/22, intID = 0
00:34:32:343.732   Line: 368/23, intID = 0
00:34:32:344.799   Line: 384/24, intID = 0
00:34:32:345.865   Line: 400/25, intID = 0
00:34:32:346.934   Line: 416/26, intID = 0
00:34:32:348.001   Line: 432/27, intID = 0
00:34:32:349.068   Line: 448/28, intID = 0
00:34:32:350.137   Line: 464/29, intID = 0
00:34:32:351.213   Line: 480/30, intID = 0
00:34:32:352.271   Line: 496/31, intID = 0
00:34:32:353.340   Line: 512/32, intID = 0
00:34:32:354.414   Line: 016/1, intID = 0

00:34:32:355.472   Line: 032/2, intID = 0
00:34:32:356.542   Line: 048/3, intID = 0
00:34:32:357.616   Line: 064/4, intID = 0
00:34:32:358.688   Line: 080/5, intID = 0
00:34:32:359.745   Line: 096/6, intID = 0
00:34:32:360.811   Line: 112/7, intID = 0
00:34:32:361.883   Line: 128/8, intID = 0
00:34:32:362.947   Line: 144/9, intID = 0
00:34:32:364.013   Line: 160/10, intID = 0
00:34:32:365.081   Line: 176/11, intID = 0
00:34:32:366.148   Line: 192/12, intID = 0
00:34:32:367.218   Line: 208/13, intID = 0
00:34:32:368.284   Line: 224/14, intID = 0
00:34:32:369.350   Line: 240/15, intID = 0
00:34:32:370.418   Line: 256/16, intID = 0
00:34:32:371.487   Line: 272/17, intID = 0
00:34:32:372.553   Line: 288/18, intID = 0
00:34:32:373.621   Line: 304/19, intID = 0
00:34:32:374.688   Line: 320/20, intID = 0
00:34:32:375.758   Line: 336/21, intID = 0
00:34:32:376.824   Line: 352/22, intID = 0
00:34:32:377.890   Line: 368/23, intID = 0
00:34:32:378.957   Line: 384/24, intID = 0
