00:21:30:430.149   Line: 016/1, intID = 0
00:21:30:431.244   Line: 032/2, intID = 0
00:21:30:432.352   Line: 048/3, intID = 0
00:21:30:433.350   Line: 064/4, intID = 0
00:21:30:434.407   Line: 080/5, intID = 0
00:21:30:435.466   Line: 096/6, intID = 0
00:21:30:436.525   Line: 112/7, intID = 0
00:21:30:437.578   Line: 128/8, intID = 0
00:21:30:438.611   Line: 144/9, intID = 0
00:21:30:439.685   Line: 160/10, intID = 0
00:21:30:440.742   Line: 176/11, intID = 0
00:21:30:441.800   Line: 192/12, intID = 0
00:21:30:442.857   Line: 208/13, intID = 0
00:21:30:443.963   Line: 224/14, intID = 0
00:21:30:445.132   Line: 240/15, intID = 0
00:21:30:446.019   Line: 256/16, intID = 0
00:21:30:447.109   Line: 272/17, intID = 0
00:21:30:448.145   Line: 288/18, intID = 0
00:21:30:449.205   Line: 304/19, intID = 0
00:21:30:450.262   Line: 320/20, intID = 0
00:21:30:451.268   Line: 336/21, intID = 0
00:21:30:452.341   Line: 352/22, intID = 0
00:21:30:453.401   Line: 368/23, intID = 0
00:21:30:454.614   Line: 384/24, intID = 0
00:21:30:455.518   Line: 400/25, intID = 0
00:21:30:456.759   Line: 416/26, intID = 0
00:21:30:457.705   Line: 432/27, intID = 0
00:21:30:458.864   Line: 448/28, intID = 0
00:21:30:459.773   Line: 464/29, intID = 0
00:21:30:460.834   Line: 480/30, intID = 0
00:21:30:461.890   Line: 496/31, intID = 0
00:21:30:463.271   Line: 016/1, intID = 0
00:21:30:464.332   Line: 032/2, intID = 0
00:21:30:465.440   Line: 048/3, intID = 0
00:21:30:466.495   Line: 064/4, intID = 0
00:21:30:467.511   Line: 080/5, intID = 0
00:21:30:468.562   Line: 096/6, intID = 0
00:21:30:469.618   Line: 112/7, intID = 0
00:21:30:470.703   Line: 128/8, intID = 0
00:21:30:471.686   Line: 144/9, intID = 0
00:21:30:472.744   Line: 160/10, intID = 0
00:21:30:473.799   Line: 176/11, intID = 0
00:21:30:474.854   Line: 192/12, intID = 0
00:21:30:475.873   Line: 208/13, intID = 0
00:21:30:476.933   Line: 224/14, intID = 0
00:21:30:477.988   Line: 240/15, intID = 0
00:21:30:479.089   Line: 256/16, intID = 0
00:21:30:480.107   Line: 272/17, intID = 0
00:21:30:481.188   Line: 288/18, intID = 0
00:21:30:482.295   Line: 304/19, intID = 0
00:21:30:483.436   Line: 320/20, intID = 0
00:21:30:484.425   Line: 336/21, intID = 0
00:21:30:485.471   Line: 352/22, intID = 0
00:21:30:486.600   Line: 368/23, intID = 0
00:21:30:487.590   Line: 384/24, intID = 0
00:21:30:488.647   Line: 400/25, intID = 0
00:21:30:489.704   Line: 416/26, intID = 0
00:21:30:490.813   Line: 432/27, intID = 0
00:21:30:491.976   Line: 448/28, intID = 0
00:21:30:492.981   Line: 464/29, intID = 0
00:21:30:493.896   Line: 480/30, intID = 0
00:21:30:494.953   Line: 496/31, intID = 0
00:21:30:496.021   Line: 512/32, intID = 0
00:21:30:496.929   Line: 016/1, intID = 0
00:21:30:497.995   Line: 032/2, intID = 0
00:21:30:499.059   Line: 048/3, intID = 0
00:21:30:500.151   Line: 064/4, intID = 0
00:21:30:501.204   Line: 080/5, intID = 0
00:21:30:502.371   Line: 096/6, intID = 0
00:21:30:503.321   Line: 112/7, intID = 0
00:21:30:504.375   Line: 128/8, intID = 0
00:21:30:505.476   Line: 144/9, intID = 0
00:21:30:506.535   Line: 160/10, intID = 0
00:21:30:507.550   Line: 176/11, intID = 0
00:21:30:508.597   Line: 192/12, intID = 0
00:21:30:509.658   Line: 208/13, intID = 0
00:21:30:510.718   Line: 224/14, intID = 0
00:21:30:511.774   Line: 240/15, intID = 0
00:21:30:512.830   Line: 256/16, intID = 0
00:21:30:513.890   Line: 272/17, intID = 0
00:21:30:514.947   Line: 288/18, intID = 0
00:21:30:516.004   Line: 304/19, intID = 0
00:21:30:517.062   Line: 320/20, intID = 0
00:21:30:518.166   Line: 336/21, intID = 0
00:21:30:519.210   Line: 352/22, intID = 0
00:21:30:520.236   Line: 368/23, intID = 0
00:21:30:521.290   Line: 384/24, intID = 0
00:21:30:522.347   Line: 400/25, intID = 0
00:21:30:523.404   Line: 416/26, intID = 0
00:21:30:524.455   Line: 432/27, intID = 0
00:21:30:525.518   Line: 448/28, intID = 0
00:21:30:526.622   Line: 464/29, intID = 0
00:21:30:527.633   Line: 480/30, intID = 0
00:21:30:528.690   Line: 496/31, intID = 0
00:21:30:529.747   Line: 512/32, intID = 0
00:21:30:530.906   Line: 016/1, intID = 0
00:21:30:531.952   Line: 032/2, intID = 0
00:21:30:533.054   Line: 048/3, intID = 0
00:21:30:534.105   Line: 064/4, intID = 0
00:21:30:535.172   Line: 080/5, intID = 0
00:21:30:536.173   Line: 096/6, intID = 0
00:21:30:537.229   Line: 112/7, intID = 0
00:21:30:538.284   Line: 128/8, intID = 0
00:21:30:539.347   Line: 144/9, intID = 0
00:21:30:540.425   Line: 160/10, intID = 0
00:21:30:541.411   Line: 176/11, intID = 0
00:21:30:542.580   Line: 192/12, intID = 0
00:21:30:543.624   Line: 208/13, intID = 0
00:21:30:544.674   Line: 224/14, intID = 0
00:21:30:546.272   Line: 240/15, intID = 2
00:21:30:546.796   Line: 256/16, intID = 0
00:21:30:547.851   Line: 272/17, intID = 0
00:21:30:549.480   Line: 288/18, intID = 2
00:21:30:549.960   Line: 304/19, intID = 0
00:21:30:551.023   Line: 320/20, intID = 0
00:21:30:552.080   Line: 336/21, intID = 0
00:21:30:553.137   Line: 352/22, intID = 0
00:21:30:554.194   Line: 368/23, intID = 0
00:21:30:555.299   Line: 384/24, intID = 0
00:21:30:556.365   Line: 400/25, intID = 0
00:21:30:557.465   Line: 416/26, intID = 0
00:21:30:558.418   Line: 432/27, intID = 0
00:21:30:559.480   Line: 448/28, intID = 0
00:21:30:560.536   Line: 464/29, intID = 0
00:21:30:561.577   Line: 480/30, intID = 0
00:21:30:562.651   Line: 496/31, intID = 0
00:21:30:563.709   Line: 512/32, intID = 0
00:21:30:564.647   Line: 016/1, intID = 0
00:21:30:565.691   Line: 032/2, intID = 0
00:21:30:566.814   Line: 048/3, intID = 0
00:21:30:567.844   Line: 064/4, intID = 0
00:21:30:569.033   Line: 080/5, intID = 0
00:21:30:570.036   Line: 096/6, intID = 0
00:21:30:571.036   Line: 112/7, intID = 0
00:21:30:572.088   Line: 128/8, intID = 0
00:21:30:573.157   Line: 144/9, intID = 0
00:21:30:574.320   Line: 160/10, intID = 0
00:21:30:575.268   Line: 176/11, intID = 0
00:21:30:576.329   Line: 192/12, intID = 0
00:21:30:577.336   Line: 208/13, intID = 0
00:21:30:578.439   Line: 224/14, intID = 0
00:21:30:579.449   Line: 240/15, intID = 0
00:21:30:580.504   Line: 256/16, intID = 0
00:21:30:581.692   Line: 272/17, intID = 0
00:21:30:582.737   Line: 288/18, intID = 0
00:21:30:583.737   Line: 304/19, intID = 0
00:21:30:584.700   Line: 320/20, intID = 0
00:21:30:585.770   Line: 336/21, intID = 0
00:21:30:586.835   Line: 352/22, intID = 0
00:21:30:587.871   Line: 368/23, intID = 0
00:21:30:588.930   Line: 384/24, intID = 0
00:21:30:590.018   Line: 400/25, intID = 0
00:21:30:591.124   Line: 416/26, intID = 0
00:21:30:592.192   Line: 432/27, intID = 0
00:21:30:593.248   Line: 448/28, intID = 0
00:21:30:594.355   Line: 464/29, intID = 0
00:21:30:595.403   Line: 480/30, intID = 0
00:21:30:596.412   Line: 496/31, intID = 0
00:21:30:597.467   Line: 512/32, intID = 0
00:21:30:598.545   Line: 016/1, intID = 0
00:21:30:599.653   Line: 032/2, intID = 0
00:21:30:600.709   Line: 048/3, intID = 0
00:21:30:601.766   Line: 064/4, intID = 0
00:21:30:602.824   Line: 080/5, intID = 0
00:21:30:603.881   Line: 096/6, intID = 0
00:21:30:604.938   Line: 112/7, intID = 0
00:21:30:606.176   Line: 128/8, intID = 0
00:21:30:607.097   Line: 144/9, intID = 0
00:21:30:608.121   Line: 160/10, intID = 0
00:21:30:609.692   Line: 176/11, intID = 2
00:21:30:610.240   Line: 192/12, intID = 0
00:21:30:611.281   Line: 208/13, intID = 0
00:21:30:612.338   Line: 224/14, intID = 0
00:21:30:613.395   Line: 240/15, intID = 0
00:21:30:614.561   Line: 256/16, intID = 0
00:21:30:615.510   Line: 272/17, intID = 0
00:21:30:616.563   Line: 288/18, intID = 0
00:21:30:617.624   Line: 304/19, intID = 0
00:21:30:618.737   Line: 320/20, intID = 0
00:21:30:619.739   Line: 336/21, intID = 0
00:21:30:620.809   Line: 352/22, intID = 0
00:21:30:621.848   Line: 368/23, intID = 0
00:21:30:622.907   Line: 384/24, intID = 0
00:21:30:623.967   Line: 400/25, intID = 0
00:21:30:625.024   Line: 416/26, intID = 0
00:21:30:626.037   Line: 432/27, intID = 0
00:21:30:627.086   Line: 448/28, intID = 0
00:21:30:628.147   Line: 464/29, intID = 0
00:21:30:629.203   Line: 480/30, intID = 0
00:21:30:630.340   Line: 496/31, intID = 0
00:21:30:631.457   Line: 512/32, intID = 0
00:21:30:632.273   Line: 016/1, intID = 0
00:21:30:633.333   Line: 032/2, intID = 0
00:21:30:634.476   Line: 048/3, intID = 0
00:21:30:635.487   Line: 064/4, intID = 0
00:21:30:636.588   Line: 080/5, intID = 0
00:21:30:637.650   Line: 096/6, intID = 0
00:21:30:639.758   Line: 128/8, intID = 0
00:21:30:640.812   Line: 144/9, intID = 0
00:21:30:641.339   Line: 144/9, intID = 2
00:21:30:641.873   Line: 160/10, intID = 0
00:21:30:642.397   Line: 160/10, intID = 2
00:21:30:642.929   Line: 176/11, intID = 0
00:21:30:643.468   Line: 176/11, intID = 2
00:21:30:643.987   Line: 192/12, intID = 0
00:21:30:644.512   Line: 192/12, intID = 2
00:21:30:645.092   Line: 208/13, intID = 0
00:21:30:645.570   Line: 208/13, intID = 2
00:21:30:646.144   Line: 224/14, intID = 0
00:21:30:646.593   Line: 224/14, intID = 2
00:21:30:647.172   Line: 240/15, intID = 0
00:21:30:647.684   Line: 240/15, intID = 2
00:21:30:648.215   Line: 256/16, intID = 0
00:21:30:648.741   Line: 256/16, intID = 2
00:21:30:649.269   Line: 272/17, intID = 0
00:21:30:649.798   Line: 272/17, intID = 2
00:21:30:650.330   Line: 288/18, intID = 0
